id;calories;proteins;fat;carbohydrate;name;composition;origin;food_category;is_national;region;
149;142;10,4;2;22;Pete Segar;sayuran;Jawa Barat;vegetable;;Jawa Barat;
150;33;4,5;0,4;2,8;Pucuk lumai/daun leunca segar;sayuran;Jawa Barat;vegetable;;Jawa Barat;
151;200;1;2,4;43,8;Putu Mayang ;sayuran;DI Yogyakarta;snack;;DI Yogyakarta;
152;60;5,4;2,5;4;Rawon masakan;daging sapi;Jawa Timur;main_meal;;Jawa Timur;
153;451;11,2;20,2;59,7;Rempeyek kacang tolo;kacang;Jawa Barat;snack;;Jawa Barat;
154;497;17;27,6;50,8;Rempeyek kacang uci;kacang;Jawa Tengah;snack;;Jawa Tengah;
155;335;5,3;3,5;70,5;Risoles ;gandum;DKI Jakarta;snack;;DKI Jakarta;
156;341;5,5;16,2;43,3;Roti boong;gandum;Jawa Tengah;main_meal;;Jawa Tengah;
157;350;7,5;2;75,5;Roti Gambang ;gandum;DKI Jakarta;main_meal;;DKI Jakarta;
158;153;11,3;8,4;8;Rujak cingur;sayuran;Jawa Timur;main_meal;;Jawa Timur;
159;87;0,8;0,4;20,1;Salak pondoh segar;sayuran;DI Yogyakarta;fruit;;DI Yogyakarta;
160;283;12,1;16,8;20,9;Sate Bandeng;ikan;Banten;main_meal;;Banten;
161;110;15,5;0,5;11,5;Sate Kulit ;daging sapi;Jawa Barat;main_meal;;Jawa Barat;
162;126,7;14;7,3;1,3;Sate Usus ;daging sapi;Jawa Timur;main_meal;1;Nasional;
163;29;0,7;0,6;5;Sayur asem;sayuran;DKI Jakarta;main_meal;1;Nasional;
164;27;1,3;2;1;Sayur sop;sayuran;DKI Jakarta;main_meal;1;Nasional;
165;192,5;4,5;6;30,3;Semur Jengkol ;sayuran;DKI Jakarta;vegetable;1;Nasional;
166;173;0,5;0,1;42,5;Singkong tape;sayuran;Jawa Barat;snack;1;Nasional;
167;95,3;4,4;2,2;14,4;Siomay ;Ikan;DKI Jakarta;main_meal;1;Nasional;
168;71;7,5;3,6;2,2;Sop buntut ;daging sapi;DKI Jakarta;main_meal;1;Nasional;
169;42;3,9;1,7;2,8;Soto bandung ;daging sapi;Jawa Barat;main_meal;;Jawa Barat;
170;135;2,5;8,8;11,5;Soto betawi ;daging sapi;DKI Jakarta;main_meal;1;Nasional;
171;127,5;2,6;9,4;8,3;Soto Daging;daging sapi;DKI Jakarta;main_meal;1;Nasional;
172;38;2,6;2,3;1,8;Soto kudus ;sayuran;Jawa Tengah;main_meal;1;Nasional;
173;60;3,5;4,5;1,3;Soto madura ;daging sapi;Jawa Timur;main_meal;;Jawa Timur;
174;94;3;6,8;5,1;Soto pekalongan masakan;sayuran;Jawa Tengah;main_meal;;Jawa Tengah;
175;75;3,6;5,2;3,5;Soto pemalang masakan;sayuran;Jawa Tengah;main_meal;;Jawa Tengah;
176;80;3,2;3,5;9;Soto sukaraja masakan;sayuran;Jawa Barat;main_meal;;Jawa Barat;
